data,callsign,departure,arrivee,registration,Parking,Parking0,Parking1,Parking2,Parking3,Parking4,Parking5,Parking6,Parking7,Parking8,Parking9,Parking10,Parking11,Parking12,Parking13,Parking14,Parking15,Parking16,Parking17,Parking18,Parking19,Parking20,Parking21,Parking22,Parking23,Parking24,Parking25,Parking26,Parking27,Parking28,Parking29,Parking30,Parking31,Parking32,Parking33,Parking34,Parking35,Parking36,Parking37,Parking38,Parking39,Parking40,Parking41,Parking42,Parking43,Parking44,Parking45,Parking46,Parking47,Parking48,Parking49,Parking50,Parking51,Parking52,Parking53,Parking54,Parking55,Parking56,Parking57,Parking58,Parking59,Parking60,Parking61,Parking62,Parking63,Parking64,Parking65,Parking66,Parking67,Parking68,Parking69,Parking70,Parking71,Parking72,Parking73,Parking74,Parking75,Parking76,Parking77,Parking78,Parking79,Parking80,Parking81,Parking82,Parking83,Parking84,Parking85,Parking86,Parking87,Parking88,Parking89,Parking90,Parking91,Parking92,Parking93
20180929,GCR7816,ZSQD,ZBTJ,B3236,211.0,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211
20180929,GCR7849,ZBTJ,ZLXY,B3236,210.0,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
20180929,GCR7850,ZLXY,ZBTJ,B3236,213.0,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213
20180928,GCR7868,ZSJN,ZBTJ,B3243,213.0,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213
20180929,GCR7889,ZBTJ,ZSAM,B3243,210.0,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205
20180929,GCR7890,ZSAM,ZBTJ,B3243,209.0,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,209,211,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
20180929,GCR7827,ZBTJ,ZBDS,B3243,211.0,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211
20180929,GCR6605,ZBHH,ZBTJ,B3247,209.0,209,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,414R,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208
20180929,GCR6605,ZBTJ,ZBSN,B3247,209.0,209,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,210,210,210,210,210,210,210,210,210,210,210,210,210,210,414R,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208
20180929,GCR7901,ZBTJ,ZLXY,B3257,210.0,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
